and	y
was	fue
was	estaba
was	era
for	para
that	eso
that	que
with	con
from	from
from	de
from	desde
this	este
this	esto
this	esta
are	estÃ¡n
are	are
are	son
which	cuÃ¡les
which	cuÃ¡l
which	cual
new	novedad
new	nuevas
new	nuevos
new	nuevo
new	novedades
new	nueva
page	pagina
page	pÃ¡gina
page	page
had	tenÃ­a
had	tenido
had	tuvo
had	habÃ­a
other	otras
other	otro
other	otros
should	deberÃ­a
should	deberÃ­an
should	deberia
should	debiera
can	pueden
can	puedo
can	lata
can	can
can	puede
when	cuÃ¡ndo
when	when
when	cuando
time	hora
time	tiempo
time	time
team	equipo
team	team
american	americano
american	american
american	estadounidense
american	americanos
american	americana
such	tal
such	tales
only	Ãºnicamente
only	solo
only	sÃ³lo
only	solamente
see	vÃ©ase
see	see
see	ver
see	vea
years	aÃ±os
years	anos
into	into
school	colegio
school	escuela
national	nacionales
national	national
national	nacional
most	most
over	over
than	than
many	muchas
many	muchos
september	setiembre
september	septiembre
like	gustar
like	like
like	como
june	june
june	junio
them	ellas
them	ellos
december	diciembre
link	link
link	enlazar
link	enlace
link	vÃ­nculo
while	mientras
november	noviembre
please	favor
please	please
please	porfavor
please	porfa
following	siguiente
following	siguiendo
following	siguientes
known	conocidas
known	conocida
known	conocido
known	conocidos
just	solo
just	simplemente
just	sÃ³lo
just	just
north	norte
before	antes
season	temporada
high	alto
high	high
high	elevada
high	alta
through	mediante
through	through
comments	observaciones
comments	comenta
comments	comentarios
comments	comentario
because	porque
diff	diferencias
diff	diferenciar
diff	diff
debate	debatir
debate	debate
title	titulo
title	tÃ­tulo
articles	articulos
articles	artÃ­culos
john	juan
john	john
including	incluyendo
including	incluida
including	incluido
including	incluidos
could	podrÃ­an
could	podÃ­a
could	podrÃ­a
could	podria
album	Ã¡lbum
album	album
album	disco
number	nÃºmero
number	numero
against	contra
against	against
family	familiar
family	familiares
family	famila
family	familia
user	usuarios
user	usuario
area	superficie
area	zona
area	area
area	Ã¡rea
above	arriba
above	supra
club	club
club	garrote
club	discoteca
until	hasta
early	early
early	primeros
early	temprano
house	house
house	casita
house	casa
left	izquierda
left	izquierdo
living	living
living	vivir
living	viviendo
day	dÃ­a
day	dia
day	day
several	varios
several	varias
appropriate	apropiada
appropriate	apropiadas
appropriate	apropiados
appropriate	adecuado
appropriate	apropiado
subsequent	posterior
subsequent	subsiguientes
subsequent	subsiguiente
class	clase
class	class
class	clases
found	encontrada
found	encontradas
found	encontrados
found	hallado
found	encontrado
center	centrar
center	centro
center	center
long	largos
long	largo
long	larga
long	long
country	pais
country	paÃ­s
way	manera
way	camino
way	way
does	hace
www	www
support	apoyo
support	soporte
former	antiguo
former	ex
east	este
east	oriente
east	east
members	diputados
members	miembros
good	buenas
good	bien
good	bueno
good	buena
good	buenos
show	espectÃ¡culo
show	show
show	mostrar
included	incluidos
included	incluidas
included	incluida
included	incluÃ­do
included	incluido
home	hogar
home	casa
home	inicio
women	mujer
women	mujeres
women	femenino
television	televisor
television	television
television	televisiÃ³n
television	televisiones
seed	semilla
seed	semillas
sources	fuentes
station	estacion
station	estaciÃ³n
order	orden
order	ordenar
order	encargo
order	pedido
order	pedidos
old	viejo
old	antiguo
old	viejos
old	antigua
old	vieja
information	informaciÃ³n
information	informacion
information	informaciones
set	conjunto
set	set
set	fijado
set	platÃ³
text	text
text	texto
band	band
band	banda
local	local
local	locales
river	rio
river	rÃ­o
top	top
top	arriba
top	cima
named	nombrada
named	nombrado
off	off
off	apagado
note	note
note	nota
original	original
original	originales
population	poblaciÃ³n
military	ejÃ©rcito
military	militares
military	militar
great	grandioso
great	genial
great	estupendo
great	gran
clubs	palos
clubs	trÃ©bol
clubs	discotecas
clubs	trÃ©boles
clubs	clubes
president	president
president	presidenta
president	presidente
park	parques
park	parque
park	park
case	case
case	caso
case	estuche
small	small
small	pequeÃ±as
small	pequeÃ±o
small	pequeÃ±a
small	pequeÃ±os
get	conseguir
get	consigue
get	obtener
get	obtenga
art	arte
player	player
player	reproductor
player	jugador
player	jugadora
began	empezÃ³
began	comenzÃ³
award	laudo
award	premios
award	adjudicaciÃ³n
award	premio
award	galardÃ³n
men	men
men	hombres
using	usando
using	utilizando
white	blancas
white	blanca
white	white
white	blancos
white	blanco
england	inglaterra
down	down
down	abajo
source	procedencia
source	fuente
source	origen
source	source
media	media
media	medios
report	reporte
report	denuncia
report	reportar
report	denunciar
report	informe
building	edificio
building	edificaciÃ³n
building	construcciÃ³n
building	construyendo
take	tomar
take	toma
take	tome
division	division
division	divisiÃ³n
edit	ediciÃ³n
edit	edita
edit	editar
stadium	estadio
stadium	stadium
died	muriÃ³
died	murio
died	murieron
ship	barco
ship	nave
ship	buque
record	registro
record	rÃ©cord
record	grabar
archive	archivar
archive	archivos
archive	archivado
archive	archivo
places	sitios
places	lugares
places	localidades
places	plazas
records	actas
records	registros
records	discos
records	records
received	recibidas
received	recibida
received	recibidos
received	recibido
power	potencia
power	power
power	poder
education	educaciÃ³n
education	enseÃ±anza
education	educacion
category	categoria
category	categorÃ­a
political	polÃ­tico
australia	australia
need	need
need	necesitar
need	necesito
need	necesita
need	necesidad
find	encontrar
find	encuentra
find	encuentre
find	hallazgo
project	project
project	proyecto
project	proyectar
according	segun
proposed	propuesto
proposed	propuesta
proposed	proponÃ­a
proposed	propuestas
proposed	propuso
every	cada
