les	the
est	is
est	east
une	a
une	an
une	one
dans	in
cat̩gorie	category
par	by
pour	for
avec	with
plus	plus
plus	more
comme	as
comme	like
cette	this
ses	his
ses	ses
ses	its
nom	surname
nom	name
fran̤ais	fran̤ais
fran̤ais	french
lieu	venue
lieu	place
lieu	location
r̩f̩rences	references
liens	links
̩tait	was
commune	commune
commune	common
ville	town
ville	city
date	date
peut	may
peut	can
premi̬re	premiere
premi̬re	first
ans	ans
ans	years
alors	then
alors	so
ainsi	thus
ainsi	so
pays	country
pays	countries
ils	they
lors	during
non	not
non	no
trois	three
articles	articles
saison	season
plusieurs	many
plusieurs	several
plusieurs	multiple
histoire	history
s̩rie	series
s̩rie	serial
joueur	player
mort	died
mort	death
mort	mort
mort	dead
fran̤aise	french
pierre	stone
pierre	peter
pierre	pierre
janvier	january
̩tat	status
̩tat	state
̩tat	condition
̩glise	church
place	place
̩tats	states
avril	apr
avril	april
avril	avril
insee	insee
album	album
d̩cembre	december
novembre	november
novembre	nov
nouvelle	new
f̩vrier	february
f̩vrier	feb
d̩partement	department
grande	large
grande	big
grande	great
grande	grande
am̩ricain	american
soit	either
ligne	line
ligne	row
suite	suite
nationale	national
nationale	nationale
championnat	championship
encore	again
encore	still
encore	encore
vie	life
vie	vie
moins	minus
moins	less
ouest	west
ouest	western
nouveau	new
vous	you
cours	course
cours	cours
cours	courses
universit̩	university
universit̩	college
leurs	their
si̬cle	century
coupe	haircut
coupe	cup
coupe	cutting
coupe	cut
coupe	coupe
pr̩sident	president
pr̩sident	chair
pr̩sident	chairperson
pr̩sident	chairman
soci̩t̩	society
soci̩t̩	company
cas	case
cas	cas
cas	cases
parti	party
parti	gone
jour	day
̩poque	epoch
̩poque	era
devient	becomes
origine	origin
origine	origins
ordre	order
ch̢teau	ch̢teau
ch̢teau	castle
ch̢teau	chateau
paul	paul
chef	chef
chef	chief
durant	during
durant	durant
canton	guangzhou
canton	canton
dernier	last
dernier	latest
point	point
john	john
conseil	consulting
conseil	advice
conseil	council
fran̤ois	francis
fran̤ois	francois
fran̤ois	fran̤ois
maison	house
maison	home
cela	this
cela	that
toujours	always
toujours	still
production	production
certains	some
membre	member
pr̬s	near
r̫le	role
droit	right
droit	law
mois	months
mois	month
r̩publique	republic
jacques	jacques
score	score
center	center
elles	elles
elles	they
petit	small
petit	petit
petit	little
argent	money
argent	silver
argent	cash
ministre	minister
̩pisode	episode
sc̬ne	scene
sc̬ne	stage
